SITE INFORMATION,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,SITE BELGIUM,,,,,,Grid EP Information*,,,,,,,,,,,,
,,,,SITE CONSUMPTION,,,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,TOTAL kWh/yr,,,842338.0000000014,,,Hedged Price (EUR/kWh),0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174,0.174
,1,6,15,144.2,,,,,,,,,,,,,,,
,1,6,16,117.075,,,,,,,,,,,,,,,
,1,6,17,84.35,,,,,,,,,,,,,,,
,1,6,18,82.95,,,,,,,,,,,,,,,
,1,6,19,95.37500000000001,,,,,,,,,,,,,,,
,1,6,20,91.875,,,,,,,,,,,,,,,
,1,6,21,86.79999999999998,,,,,,,,,,,,,,,
,1,6,22,89.95,,,,,,,,,,,,,,,
,1,6,23,88.9,,,,,,,,,,,,,,,
,1,6,24,84.7,,,,,,,,,,,,,,,
,1,7,1,71.225,,,,,,,,,,,,,,,
,1,7,2,72.45,,,,,,,,,,,,,,,
,1,7,3,69.64999999999999,,,,,,,,,,,,,,,
,1,7,4,76.3,,,,,,,,,,,,,,,
,1,7,5,90.3,,,,,,,,,,,,,,,
,1,7,6,124.075,,,,,,,,,,,,,,,
,1,7,7,156.275,,,,,,,,,,,,,,,
,1,7,8,147,,,,,,,,,,,,,,,
,1,7,9,153.65,,,,,,,,,,,,,,,
,1,7,10,148.75,,,,,,,,,,,,,,,
,1,7,11,155.225,,,,,,,,,,,,,,,
,1,7,12,141.05,,,,,,,,,,,,,,,
,1,7,13,90.65,,,,,,,,,,,,,,,
,1,7,14,91.875,,,,,,,,,,,,,,,
,1,7,15,89.25,,,,,,,,,,,,,,,
,1,7,16,90.3,,,,,,,,,,,,,,,
,1,7,17,83.47500000000001,,,,,,,,,,,,,,,
,1,7,18,80.325,,,,,,,,,,,,,,,
,1,7,19,85.4,,,,,,,,,,,,,,,
,1,7,20,79.45,,,,,,,,,,,,,,,
,1,7,21,85.925,,,,,,,,,,,,,,,
,1,7,22,84.875,,,,,,,,,,,,,,,
,1,7,23,78.225,,,,,,,,,,,,,,,
,1,7,24,68.95,,,,,,,,,,,,,,,
,1,8,1,71.4,,,,,,,,,,,,,,,
,1,8,2,70,,,,,,,,,,,,,,,
,1,8,3,65.80000000000001,,,,,,,,,,,,,,,
,1,8,4,68.075,,,,,,,,,,,,,,,
,1,8,5,68.6,,,,,,,,,,,,,,,
,1,8,6,66.85,,,,,,,,,,,,,,,
,1,8,7,67.725,,,,,,,,,,,,,,,
,1,8,8,60.375,,,,,,,,,,,,,,,
,1,8,9,65.975,,,,,,,,,,,,,,,
,1,8,10,69.65,,,,,,,,,,,,,,,
,1,8,11,63.525000000000006,,,,,,,,,,,,,,,
,1,8,12,57.39999999999999,,,,,,,,,,,,,,,
,1,8,13,61.075,,,,,,,,,,,,,,,
,1,8,14,56.875,,,,,,,,,,,,,,,
,1,8,15,72.625,,,,,,,,,,,,,,,
,1,8,16,61.95,,,,,,,,,,,,,,,
,1,8,17,59.675,,,,,,,,,,,,,,,
,1,8,18,60.025,,,,,,,,,,,,,,,
,1,8,19,70,,,,,,,,,,,,,,,
,1,8,20,64.225,,,,,,,,,,,,,,,
,1,8,21,65.275,,,,,,,,,,,,,,,
,1,8,22,61.95,,,,,,,,,,,,,,,
