Month,Day,Hour,
1,20,11,167.0
1,20,12,136.7
1,20,13,122.0
1,20,14,146.0
1,20,15,115.2
1,20,16,102.7
1,20,17,96.3
1,20,18,99.9
1,20,19,89.3
1,20,20,91.0
1,20,21,93.3
1,20,22,93.3
1,20,23,97.5
1,20,24,81.9
1,21,1,78.4
1,21,2,73.7
1,21,3,71.9
1,21,4,71.8
1,21,5,80.3
1,21,6,94.0
1,21,7,99.6
1,21,8,80.2
1,21,9,88.0
1,21,10,93.6
1,21,11,79.8
1,21,12,78.9
1,21,13,75.1
1,21,14,78.9
1,21,15,84.5
1,21,16,70.9
1,21,17,76.1
1,21,18,80.3
1,21,19,77.4
1,21,20,73.7
1,21,21,70.7
1,21,22,81.0
1,21,23,75.3
1,21,24,62.5
1,22,1,63.0
1,22,2,57.8
1,22,3,69.1
1,22,4,55.8
1,22,5,65.5
1,22,6,66.3
1,22,7,68.1
1,22,8,61.8
1,22,9,64.8
1,22,10,64.8
1,22,11,63.0
1,22,12,57.1
1,22,13,59.2
1,22,14,58.5
1,22,15,73.7
1,22,16,62.8
1,22,17,58.5
1,22,18,64.2
1,22,19,74.0
1,22,20,60.7
1,22,21,63.7
1,22,22,66.7
1,22,23,63.2
1,22,24,70.2
1,23,1,61.1
1,23,2,61.4
1,23,3,65.6
1,23,4,57.6
1,23,5,66.5
1,23,6,67.4
1,23,7,66.9
1,23,8,60.0
1,23,9,66.0
1,23,10,65.8
1,23,11,64.6
1,23,12,58.3
1,23,13,58.8
1,23,14,57.4
1,23,15,72.1
1,23,16,65.1
1,23,17,56.0
1,23,18,66.3
1,23,19,72.3
1,23,20,60.6
1,23,21,65.8
1,23,22,67.6
1,23,23,62.0
1,23,24,71.4
1,24,1,60.4
1,24,2,65.8
1,24,3,67.0
1,24,4,58.1
1,24,5,68.6
1,24,6,68.4
1,24,7,81.4
1,24,8,68.1
1,24,9,74.4
1,24,10,79.3
1,24,11,78.8
1,24,12,75.4
1,24,13,77.2
1,24,14,88.0
1,24,15,83.5
1,24,16,72.3
1,24,17,76.1
1,24,18,79.3
1,24,19,70.4
1,24,20,69.7
1,24,21,75.6
1,24,22,78.6
1,24,23,76.7
1,24,24,71.2
1,25,1,65.5
1,25,2,65.1
1,25,3,65.8
1,25,4,61.1
1,25,5,70.0
1,25,6,94.7
1,25,7,112.0
1,25,8,97.3
1,25,9,98.0
1,25,10,95.0
1,25,11,116.6
1,25,12,94.0
1,25,13,95.9
1,25,14,92.2
1,25,15,81.4
1,25,16,84.5
1,25,17,85.4
1,25,18,87.9
1,25,19,81.7
1,25,20,85.4
1,25,21,84.7
1,25,22,80.3
1,25,23,73.7
1,25,24,71.6
1,26,1,69.5
1,26,2,68.3
1,26,3,69.8
1,26,4,71.4
1,26,5,90.5
1,26,6,125.0
1,26,7,133.5
1,26,8,159.1
1,26,9,173.1
1,26,10,165.2
1,26,11,179.2
1,26,12,169.6
1,26,13,149.1
1,26,14,166.1
1,26,15,159.3
1,26,16,114.8
1,26,17,91.7
1,26,18,102.9
1,26,19,96.4
1,26,20,91.4
1,26,21,90.1
1,26,22,93.6
1,26,23,95.0
1,26,24,83.7
1,27,1,77.4
1,27,2,74.2
1,27,3,77.9
1,27,4,74.6
1,27,5,81.4
1,27,6,86.8
1,27,7,130.2
1,27,8,120.1
1,27,9,142.8
1,27,10,136.9
1,27,11,133.9
1,27,12,136.9
1,27,13,141.9
1,27,14,144.4
1,27,15,107.1
1,27,16,97.5
1,27,17,87.9
1,27,18,95.0
1,27,19,85.1
1,27,20,86.5
1,27,21,88.0
1,27,22,79.1
1,27,23,80.9
1,27,24,77.5
1,28,1,76.1
1,28,2,73.7
1,28,3,74.2
1,28,4,78.6
1,28,5,84.0
1,28,6,106.6
1,28,7,108.9
1,28,8,108.3
1,28,9,117.1
1,28,10,112.4
1,28,11,114.8
1,28,12,97.8
1,28,13,78.9
1,28,14,84.9
1,28,15,82.1
1,28,16,64.1
1,28,17,60.4
1,28,18,79.3
1,28,19,78.2
1,28,20,60.9
1,28,21,66.7
1,28,22,76.3
1,28,23,83.0
1,28,24,72.3
1,29,1,63.7
1,29,2,59.3
1,29,3,62.7
1,29,4,58.6
1,29,5,62.8
1,29,6,68.1
1,29,7,57.4
1,29,8,56.9
1,29,9,69.5
1,29,10,64.9
1,29,11,56.5
1,29,12,54.6
1,29,13,55.8
1,29,14,51.1
1,29,15,72.8
1,29,16,57.6
1,29,17,54.4
1,29,18,61.3
1,29,19,72.5
1,29,20,52.3
1,29,21,58.6
1,29,22,62.7
1,29,23,64.2
1,29,24,64.8
1,30,1,62.5
1,30,2,53.4
1,30,3,62.5
1,30,4,56.5
1,30,5,60.6
1,30,6,63.7
1,30,7,61.6
1,30,8,57.4
1,30,9,58.3
1,30,10,64.4
1,30,11,55.1
1,30,12,53.4
1,30,13,56.5
1,30,14,52.5
1,30,15,68.3
1,30,16,57.6
1,30,17,50.9
1,30,18,56.5
1,30,19,71.4
1,30,20,53.6
1,30,21,63.5
1,30,22,57.1
1,30,23,61.3
1,30,24,64.9
1,31,1,61.1
1,31,2,56.0
1,31,3,65.6
1,31,4,57.4
1,31,5,86.3
1,31,6,107.6
1,31,7,122.3
1,31,8,136.9
1,31,9,159.1
1,31,10,157.9
1,31,11,169.1
1,31,12,140.4
1,31,13,140.7
1,31,14,148.1
1,31,15,136.0
1,31,16,92.2
1,31,17,79.5
1,31,18,92.9
1,31,19,84.9
1,31,20,78.4
1,31,21,89.8
1,31,22,86.3
1,31,23,87.5
1,31,24,80.2
2,1,1,70.4
2,1,2,69.8
2,1,3,67.6
2,1,4,71.4
2,1,5,92.4
2,1,6,109.4
2,1,7,100.8
2,1,8,120.9
2,1,9,122.5
2,1,10,141.9
2,1,11,125.1
2,1,12,134.2
2,1,13,116.6
2,1,14,142.5
2,1,15,132.3
2,1,16,103.8
2,1,17,83.7
2,1,18,97.8
2,1,19,83.5
2,1,20,89.3
2,1,21,88.9
2,1,22,90.7
2,1,23,89.1
2,1,24,76.7
2,2,1,75.3
2,2,2,73.7
2,2,3,75.4
2,2,4,80.0
2,2,5,97.8
2,2,6,97.3
2,2,7,116.2
2,2,8,124.8
2,2,9,154.0
2,2,10,133.4
2,2,11,137.2
2,2,12,139.0
2,2,13,120.1
2,2,14,143.5
2,2,15,127.1
2,2,16,97.8
2,2,17,83.3
2,2,18,95.7
2,2,19,88.2
2,2,20,77.9
2,2,21,92.2
2,2,22,90.1
2,2,23,93.8
2,2,24,80.0
2,3,1,77.0
2,3,2,70.7
2,3,3,75.6
2,3,4,74.4
2,3,5,83.7
2,3,6,100.5
2,3,7,111.1
2,3,8,129.5
2,3,9,151.0
2,3,10,150.7
2,3,11,158.4
2,3,12,154.2
