Month,Day,Hour,SITE CONSUMPTION Grid supply (kWh),SITE CONSUMPTION Natural Gas (kWh),ONSITE SOLAR SYSTEM PRODUCTION (kWh),GRID (OMIE) Price (€/MWh),NG (MIBGAS) Price (€/MWh)
3,23,11,2143.75,428.75,601.5834411446,32.227999999999994,16.113999999999997
3,23,12,1853.25,370.65,699.2966028177932,26.683999999999997,13.341999999999999
3,23,13,1779.7500000000002,355.95000000000005,736.3805135732823,27.005999999999997,13.502999999999998
3,23,14,2002.0000000000002,400.4000000000001,715.1897074272886,36.596,18.298
3,23,15,1821.75,364.35,641.6105194203658,38.961999999999996,19.480999999999998
3,23,16,1338.75,267.75,513.877049040348,62.93699999999999,31.468499999999995
3,23,17,1046.5,209.30000000000004,357.889170465672,83.62899999999999,41.814499999999995
3,23,18,1149.75,229.95000000000002,188.3627212977221,95.851,47.9255
3,23,19,1174.25,234.85000000000002,34.72937673926751,101.08,50.54
3,23,20,1009.75,201.95,0,85.603,42.8015
3,23,21,1134,226.8,0,65.226,32.613
3,23,22,1104.25,220.85000000000002,0,62.727,31.3635
3,23,23,1184.75,236.95,0,54.684,27.342
3,23,24,936.2499999999999,187.24999999999997,0,38.906,19.453
3,24,1,880.25,176.05,0,31.233999999999995,15.616999999999997
3,24,2,908.25,181.65000000000003,0,29.127,14.5635
3,24,3,901.2500000000001,180.25000000000003,0,28.629999999999995,14.314999999999998
3,24,4,866.25,173.25,0,25.451999999999998,12.725999999999999
3,24,5,1067.5,213.5,0,28.986999999999995,14.493499999999997
3,24,6,1268.7500000000002,253.75000000000003,0,44.653,22.3265
3,24,7,1417.5,283.5,2.943167520276907,57.62399999999999,28.811999999999994
3,24,8,1520.75,304.15,94.18136064886104,57.288,28.644
3,24,9,1547,309.4,263.70780981681094,43.967,21.9835
3,24,10,1636.25,327.25,446.77282957803453,31.359999999999996,15.679999999999998
3,24,11,1527.75,305.55,602.7607081527107,22.581999999999997,11.290999999999999
3,24,12,1279.25,255.85000000000002,701.6511368340147,20.496,10.248
3,24,13,1480.5,296.1,736.9691470773375,14.377999999999998,7.188999999999999
3,24,14,1632.75,326.55,715.1897074272886,8.581999999999999,4.2909999999999995
3,24,15,1533,306.6,641.6105194203659,5.236,2.618
3,24,16,1153.25,230.65,516.2315830565695,20.712999999999997,10.356499999999999
3,24,17,875,175,360.83233798594887,55.601,27.8005
3,24,18,936.25,187.25,192.4831558261098,70.55999999999999,35.279999999999994
3,24,19,918.75,183.75,40.615711779821325,81.361,40.6805
3,24,20,827.75,165.55000000000004,0,67.89999999999999,33.949999999999996
3,24,21,943.25,188.65000000000003,0,57.763999999999996,28.881999999999998
3,24,22,994,198.8,0,53.339999999999996,26.669999999999998
3,24,23,995.7499999999999,199.14999999999998,0,45.43,22.715
3,24,24,932.75,186.55,0,10.709999999999999,5.3549999999999995
3,25,1,796.25,159.25,0,-5.103,2.5515
3,25,2,810.25,162.05,0,-4.199999999999999,2.0999999999999996
3,25,3,768.25,153.65000000000003,0,-0.315,0.1575
3,25,4,771.75,154.35,0,-1.638,0.819
3,25,5,841.7500000000001,168.35000000000005,0,-2.6599999999999997,1.3299999999999998
3,25,6,948.5,189.7,0,-4.935,2.4675
3,25,7,1092,218.4,4.120434528387671,-8.519,4.2595
3,25,8,1125.25,225.05,101.24496269752561,-7,3.5
3,25,9,1195.25,239.05,276.65774690602933,3.374,1.687
3,25,10,1079.75,215.95,450.89326410642224,-5.593,2.7965
3,25,11,1018.5,203.70000000000002,593.93120559188,-0.9239999999999999,0.46199999999999997
3,25,12,896,179.2,688.7011997447963,-1.6239999999999999,0.8119999999999999
3,25,13,819,163.8,725.19647699623,-8.981,4.4905
3,25,14,854,170.8,704.5943043542916,-8.113,4.0565
3,25,15,829.5,165.9,632.1923833554797,-0.504,0.252
3,25,16,806.75,161.35000000000002,509.75661451196044,0.098,0.049
3,25,17,771.75,154.35,357.30053696161656,19.761,9.8805
3,25,18,826,165.2,194.24905633827592,46.19299999999999,23.096499999999995
3,25,19,881.9999999999999,176.39999999999998,46.502046820375135,61.718999999999994,30.859499999999997
3,25,20,791,158.2,0,61.915,30.9575
3,25,21,843.5000000000001,168.70000000000002,0,61.10999999999999,30.554999999999996
3,25,22,901.25,180.25000000000003,0,59.45799999999999,29.728999999999996
3,25,23,803.25,160.65,0,62.922999999999995,31.461499999999997
3,25,24,721,144.2,0,58.84899999999999,29.424499999999995
3,26,1,668.5000000000001,133.70000000000002,0,46.025,23.0125
3,26,2,717.5,143.5,0,48.446999999999996,24.223499999999998
3,26,3,743.75,148.75,0,43.596,21.798
3,26,4,610.75,122.15000000000002,0,44.029999999999994,22.014999999999997
3,26,5,741.9999999999999,148.39999999999998,0,44.443,22.2215
3,26,6,726.25,145.25,0,51.163,25.5815
3,26,7,712.25,142.45,3.531801024332289,57.46999999999999,28.734999999999996
3,26,8,645.75,129.15,109.48583175430096,57.105999999999995,28.552999999999997
3,26,9,698.25,139.65,286.0758829709154,58.141999999999996,29.070999999999998
3,26,10,777,155.4,463.2545676915853,62.99999999999999,31.499999999999996
3,26,11,703.5,140.7,608.6470431932645,62.89499999999999,31.447499999999994
3,26,12,659.75,131.95,698.1193358096825,49.272999999999996,24.636499999999998
3,26,13,673.75,134.75,732.2600790448946,35.434,17.717
3,26,14,640.5,128.1,711.0692728989009,32.018,16.009
3,26,15,815.5,163.1,639.8446189081998,33.845,16.9225
3,26,16,717.5,143.5,521.529284593068,53.963,26.9815
3,26,17,658,131.6,367.30730653055804,74.655,37.3275
3,26,18,721,144.2,198.95812437071896,82.502,41.251
3,26,19,789.25,157.85,49.44521434065205,78.813,39.4065
3,26,20,637,127.4,0,73.24099999999999,36.62049999999999
3,26,21,736.75,147.35,0,69.594,34.797
3,26,22,803.2499999999999,160.64999999999998,0,66.24799999999999,33.123999999999995
3,26,23,679,135.8,0,67.19999999999999,33.599999999999994
3,26,24,754.25,150.85000000000002,0,66.479,33.2395
3,27,1,663.25,132.65,0,61.236,30.618
3,27,2,696.5,139.3,0,58.79299999999999,29.396499999999996
3,27,3,750.7499999999999,150.14999999999998,0,59.43,29.715
3,27,4,621.25,124.25,0,70.476,35.238
3,27,5,741.9999999999999,148.39999999999998,0,80.5,40.25
3,27,6,750.75,150.15,0,100.093,50.0465
3,27,7,686,137.2,4.120434528387671,106.652,53.326
3,27,8,645.75,129.15,105.36539722591328,94.577,47.2885
3,27,9,728,145.6,273.125945881697,79.261,39.6305
3,27,10,731.5,146.3,452.6591646185884,77,38.5
3,27,11,668.5000000000001,133.70000000000002,596.874373112157,83.92999999999999,41.964999999999996
3,27,12,673.75,134.75,687.5239327366855,95.94899999999998,47.97449999999999
3,27,13,654.5,130.9,722.8419429800084,68.94999999999999,34.474999999999994
3,27,14,721,144.2,708.1261053786241,75.03999999999999,37.519999999999996
3,27,15,745.5,149.1,635.724184379812,73.02399999999999,36.51199999999999
3,27,16,731.4999999999999,146.29999999999998,507.4020804957388,79.27499999999999,39.637499999999996
3,27,17,652.75,130.55,351.4142019210627,105.26599999999999,52.632999999999996
3,27,18,693.0000000000001,138.60000000000002,187.18545428961133,135.45,67.725
3,27,19,810.25,162.05,45.324779812264374,142.06499999999997,71.03249999999998
3,27,20,624.75,124.94999999999999,0,130.571,65.2855
3,27,21,738.5,147.7,0,92.33699999999999,46.168499999999995
3,27,22,754.25,150.85000000000002,0,80.276,40.138
3,27,23,665,133,0,122.49999999999999,61.24999999999999
3,27,24,782.25,156.45,0,105.20299999999999,52.601499999999994
3,28,1,637,127.40000000000002,0,84,42
3,28,2,700,140,0,72.779,36.3895
3,28,3,750.75,150.15,0,70.28,35.14
3,28,4,710.5,142.10000000000002,0,75.80999999999999,37.904999999999994
3,28,5,939.7500000000001,187.95000000000002,0,91.02799999999999,45.513999999999996
3,28,6,967.75,193.55000000000004,0,112.042,56.021
3,28,7,1237.25,247.45000000000002,4.709068032443052,117.69099999999999,58.845499999999994
3,28,8,1223.25,244.65,98.89042868130409,95.067,47.5335
3,28,9,1335.2499999999998,267.04999999999995,256.055574264091,91.756,45.878
3,28,10,1232,246.4,424.40475642393005,82.173,41.0865
3,28,11,1382.5,276.5,563.3222633810002,72.919,36.4595
3,28,12,1207.5,241.50000000000003,651.6172889893073,69.993,34.9965
3,28,13,1293.25,258.65,687.5239327366855,65.282,32.641
3,28,14,1076.25,215.25000000000003,665.7444930866366,66.038,33.019
3,28,15,981.75,196.35000000000002,592.7539385837692,67.354,33.677
3,28,16,848.75,169.75,469.14090273213907,76.01299999999999,38.006499999999996
3,28,17,916.9999999999999,183.4,319.03935919801677,95.809,47.9045
3,28,18,775.25,155.05,166.58328164767295,112.68599999999998,56.34299999999999
3,28,19,903,180.6,42.38161229198747,111.538,55.769
3,28,20,841.7500000000001,168.35000000000005,0.5886335040553815,93.114,46.557
3,28,21,910,182,0,89.243,44.6215
3,28,22,878.5,175.7,0,77.44099999999999,38.720499999999994
3,28,23,911.7500000000001,182.35000000000002,0,68.6,34.3
3,28,24,785.7499999999999,157.14999999999998,0,66.696,33.348
3,29,1,710.5,142.10000000000002,0,69.993,34.9965
3,29,2,775.25,155.05,0,70,35
3,29,3,773.5,154.7,0,68.92899999999999,34.464499999999994
3,29,4,736.75,147.35,0,69.44,34.72
3,29,5,1214.5,242.90000000000003,0,81.928,40.964
3,29,6,1309,261.8,0,100.89099999999999,50.445499999999996
3,29,7,1268.75,253.75,8.829502560830724,106.39999999999999,53.199999999999996
3,29,8,1414,282.8,98.89042868130409,100.91899999999998,50.45949999999999
3,29,9,1435,287,251.93513973570333,91.02799999999999,45.513999999999996
3,29,10,1477,295.4,424.9933899279855,83.321,41.6605
3,29,11,1618.75,323.75,572.7403994458863,77.68599999999999,38.842999999999996
3,29,12,1466.4999999999998,293.29999999999995,662.8013255663595,73.91999999999999,36.959999999999994
3,29,13,1505,301,698.1193358096825,71.085,35.5425
3,29,14,1470,294,681.6375976961318,73.458,36.729
3,29,15,1408.75,281.75,636.9014513879229,73.57,36.785
3,29,16,917,183.4,526.8269861295664,82.229,41.1145
3,29,17,1078,215.60000000000002,375.5481755873334,92.99499999999999,46.497499999999995
3,29,18,875,175,198.36949086666357,104.92299999999999,52.461499999999994
3,29,19,952,190.40000000000003,47.090680324430515,92.75699999999999,46.378499999999995
3,29,20,910,182,0.5886335040553815,80.444,40.222
3,29,21,931.0000000000001,186.20000000000002,0,76.92999999999999,38.464999999999996
